block,desc_zh,desc_en,alt,usage,recommended_size
"Hero background","深色渐变背景，左侧有轻量化芯片与数据节点图形，右侧向中心汇聚出工作流箭头。","Dark gradient hero backdrop with subtle chip and node graphics, converging flow arrows to the center.","Dark gradient hero with AI workflow nodes","Hero 主视觉","1920x1080 (desktop), 1125x2436 (mobile)"
"Problem illustration","大量零散小窗口、脚本与终端图标错落，中央被一条高亮路径串起，突出碎片化到统一。","Scattered mini windows, scripts, and terminal icons connected by one highlighted path.","Fragmented workflows connected into one path","Problem 区点缀插画","1600x900 (desktop), 1200x1200 (mobile)"
"Product loop cards","4 张风格一致卡片，图标分别对应 Serve、Fine-tune、Benchmark、Evaluate，卡片通过箭头形成闭环。","Four consistent cards for Serve, Fine-tune, Benchmark, Evaluate linked by arrows.","Product loop cards for serve, fine-tune, benchmark, evaluate","Product Loop 区段信息图","2200x900 (desktop)"
"Architecture diagram","三层架构：上层 Model Providers，下层 Melix Runtime，中层 Workflows，并用双向箭头表达控制流与数据流。","Three-layer architecture chart with model providers, Melix runtime, and workflows using bidirectional arrows.","Three-layer melix architecture diagram","Architecture 区主图","2400x1350 (desktop), 1080x1350 (mobile)"
"Workflow loop","环形图显示 Serve → Fine-tune → Benchmark → Evaluate，环状箭头回到 Serve，每个节点用简洁图标。","Circular workflow loop showing Serve, Fine-tune, Benchmark, Evaluate, with arrows cycling back to Serve and minimal icons.","Melix runtime cycle diagram","Architecture 补充图/流程解释","1400x1400 (desktop), 1200x1200 (mobile)"
"macOS app screenshot","macOS 主界面截图，包含菜单、会话列表、模型列表、日志与当前状态。","macOS app screenshot showing sidebar, session list, model list, logs, and runtime status.","Melix macOS interface screenshot","macOS Experience 区","2880x1800 (desktop)"
"CLI terminal screenshot","终端连续展示依赖安装、启动服务、模型运行、基准测试输出的完整命令流。","Terminal command flow showing dependency setup, service start, and benchmark output.","Melix CLI workflow in terminal","Get Started 区步骤验证","1920x1080"
"menubar screenshot","菜单栏下拉展示会话状态、快捷操作入口和关键指标数值。","Menubar dropdown with live session status, quick actions, and core metrics.","Melix menubar quick controls","macOS Experience 或功能亮点区","1200x600 (partial)"
"Onboarding timeline","五步时间线示意：Clone → Install → Start service → Open app / CLI → Run first model.","Five-step onboarding timeline from clone to first run.","Onboarding timeline 1 to 5","Get Started 流程图","1800x900"
"Current status cards","三列卡片分别用绿色、黄色、灰色标识已支持、进行中、尚未支持。","Three-column status cards with green, yellow, and neutral labels.","Current status matrix cards","Current Status 区","2400x1200"
